,bandwidth,startTime,sendTime,1,2
673,194,33,14,0.0,33.0
674,900,12,42,0.0,17.0
675,642,13,13,0.0,13.0
676,409,4,13,0.0,4.0
677,589,37,37,0.0,37.0
678,282,11,26,0.0,11.0
679,850,49,39,0.0,49.0
680,382,9,39,0.0,10.0
681,814,18,22,0.0,18.0
682,809,40,27,0.0,40.0
683,675,29,32,0.0,29.0
684,903,38,20,0.0,38.0
685,281,48,29,0.0,48.0
686,885,30,1,0.0,30.0
687,335,16,34,0.0,16.0
688,813,41,8,0.0,41.0
689,107,31,28,0.0,31.0
690,334,49,8,0.0,49.0
691,437,17,29,0.0,17.0
692,540,46,27,0.0,46.0
693,615,8,17,0.0,8.0
694,816,9,31,0.0,9.0
695,973,8,30,0.0,8.0
696,535,25,13,0.0,25.0
697,325,12,24,0.0,12.0
698,11,15,34,0.0,15.0
699,163,21,4,0.0,21.0
700,96,18,13,0.0,18.0
701,677,35,13,0.0,35.0
702,102,36,32,0.0,36.0
703,212,11,24,0.0,11.0
704,132,31,23,0.0,31.0
705,25,26,12,0.0,26.0
706,870,15,38,0.0,15.0
707,57,16,8,0.0,16.0
708,484,18,26,0.0,18.0
709,858,25,40,0.0,25.0
710,714,17,39,0.0,17.0
711,945,37,6,0.0,37.0
712,280,24,43,0.0,24.0
713,72,43,42,0.0,43.0
714,463,35,34,0.0,35.0
715,585,3,40,0.0,11.0
716,114,19,42,0.0,19.0
717,940,2,12,3.0,2.0
718,851,9,8,0.0,9.0
719,329,30,44,0.0,30.0
720,406,11,31,0.0,11.0
721,298,29,28,0.0,29.0
722,209,18,47,4.0,18.0
723,726,8,32,0.0,8.0
724,201,16,27,0.0,16.0
725,346,16,19,0.0,16.0
726,194,18,35,0.0,18.0
727,595,6,17,0.0,6.0
728,994,2,17,3.0,2.0
729,641,46,12,0.0,46.0
730,939,37,20,0.0,37.0
731,707,5,29,0.0,5.0
732,127,3,38,0.0,8.0
733,520,9,6,0.0,9.0
734,654,43,45,0.0,43.0
735,357,17,28,0.0,17.0
736,884,30,13,0.0,30.0
737,53,11,5,0.0,11.0
738,39,16,25,0.0,16.0
739,448,29,45,0.0,29.0
740,542,1,40,0.0,12.0
741,346,48,24,0.0,48.0
742,204,20,38,0.0,20.0
743,139,24,1,0.0,24.0
744,302,35,2,0.0,35.0
745,656,9,35,0.0,9.0
746,774,37,27,0.0,37.0
747,830,34,37,0.0,34.0
748,505,37,2,0.0,37.0
749,51,5,43,0.0,19.0
750,833,24,26,0.0,24.0
751,803,21,34,0.0,21.0
752,165,24,31,0.0,24.0
753,696,23,2,0.0,23.0
754,889,1,40,0.0,10.0
755,149,29,2,0.0,29.0
756,939,31,42,0.0,31.0
757,800,44,3,0.0,44.0
758,116,10,38,0.0,10.0
759,191,12,24,0.0,12.0
760,544,1,34,0.0,6.0
761,590,38,17,0.0,38.0
762,535,26,5,0.0,26.0
763,107,15,26,0.0,15.0
764,924,10,44,0.0,23.0
765,645,12,6,0.0,12.0
766,246,38,22,0.0,38.0
767,886,15,35,0.0,15.0
768,245,2,39,0.0,10.0
769,542,41,50,4.0,83.0
770,628,44,35,0.0,44.0
771,525,21,30,0.0,21.0
772,546,27,9,0.0,27.0
773,333,45,34,0.0,45.0
774,771,47,50,2.0,109.0
775,761,49,37,0.0,49.0
776,730,34,49,4.0,103.0
777,648,45,1,0.0,45.0
778,811,28,10,0.0,28.0
779,225,13,34,0.0,13.0
780,54,30,46,0.0,35.0
781,705,14,26,0.0,14.0
782,747,26,2,0.0,26.0
783,611,10,38,0.0,10.0
784,511,33,33,0.0,33.0
785,662,30,42,0.0,30.0
786,97,20,47,0.0,42.0
787,56,42,23,0.0,42.0
788,922,7,15,0.0,7.0
789,211,50,49,0.0,54.0
790,640,45,17,0.0,45.0
791,101,50,20,0.0,50.0
792,867,42,28,0.0,42.0
793,557,49,40,0.0,49.0
794,265,6,48,5.0,6.0
795,25,25,33,0.0,25.0
796,754,3,5,6.0,3.0
797,63,3,32,0.0,5.0
798,183,19,34,0.0,19.0
799,923,47,22,0.0,47.0
800,470,0,19,5.0,3.0
801,610,15,26,0.0,15.0
802,679,11,42,0.0,16.0
803,415,29,36,0.0,29.0
804,645,45,46,0.0,45.0
805,485,27,16,0.0,27.0
806,929,2,30,0.0,4.0
807,71,7,20,0.0,7.0
808,874,22,20,0.0,22.0
809,698,14,38,0.0,14.0
810,36,5,24,0.0,5.0
811,328,37,48,2.0,62.0
812,744,21,47,6.0,106.0
813,771,14,18,0.0,14.0
814,143,10,38,0.0,10.0
815,518,7,34,0.0,7.0
816,422,8,8,0.0,8.0
817,909,1,1,0.0,1.0
818,486,16,27,0.0,16.0
819,554,3,18,5.0,3.0
820,193,50,23,0.0,50.0
821,425,49,50,1.0,68.0
822,545,26,22,0.0,26.0
823,15,16,46,0.0,39.0
824,673,37,19,0.0,37.0
825,919,6,20,0.0,6.0
826,764,7,43,0.0,20.0
827,767,28,9,0.0,28.0
828,440,21,10,0.0,21.0
829,289,4,33,0.0,5.0
830,187,15,2,0.0,15.0
831,263,39,9,0.0,39.0
832,590,18,10,0.0,18.0
833,152,14,25,0.0,14.0
834,77,2,25,6.0,3.0
835,141,36,45,0.0,36.0
836,944,16,46,0.0,33.0
837,983,39,37,0.0,39.0
838,131,30,15,0.0,30.0
839,63,37,23,0.0,37.0
840,747,18,18,0.0,18.0
841,827,48,39,0.0,48.0
842,727,14,6,0.0,14.0
843,587,43,13,0.0,43.0
844,684,34,42,0.0,34.0
845,277,30,12,0.0,30.0
846,871,49,13,0.0,49.0
847,103,13,9,0.0,13.0
848,465,32,5,0.0,32.0
849,317,30,23,0.0,30.0
850,645,27,11,0.0,27.0
851,660,13,10,0.0,13.0
852,118,9,23,0.0,9.0
853,188,38,33,0.0,38.0
854,720,7,6,0.0,7.0
855,911,39,7,0.0,39.0
856,345,46,45,0.0,46.0
857,242,34,18,0.0,34.0
858,225,1,23,0.0,3.0
859,792,35,39,0.0,35.0
860,887,8,43,0.0,20.0
861,792,15,3,0.0,15.0
862,923,10,14,0.0,10.0
863,97,48,15,0.0,48.0
864,561,36,36,0.0,36.0
865,272,14,9,0.0,14.0
866,786,28,30,0.0,28.0
867,941,41,23,0.0,41.0
868,413,13,2,0.0,13.0
869,393,3,34,0.0,6.0
870,425,22,20,0.0,22.0
